"Year","est","se","CV","lo","hi","relF"
1980,0.366212274815067,1.15150955334226,0.141778560923451,0.277747855649727,0.482853161589686,0.844116082840455
1981,0.257967011641359,1.14753404138601,0.138269445149644,0.196981659985168,0.337833375453247,0.594611700218746
1982,0.450091455999546,1.15223198960082,0.142415214918813,0.340945313769372,0.594178334713306,1.03745686009611
1983,0.545823204404152,1.17253357985101,0.160180288223366,0.399547959902098,0.745650085509176,1.25811770088188
1984,0.701525908281722,1.15234216823094,0.142512283266409,0.531307910115974,0.926277570162791,1.61701106826334
1985,0.814894850833755,1.1932446199298,0.178063889221376,0.576387490485593,1.15209581900523,1.87832548693244
1986,0.447418097981618,1.15009474981692,0.140530838139627,0.340155766412335,0.588503780232342,1.0312947933023
1987,0.531790591672183,1.135969830814,0.128006527418561,0.414212995762718,0.682743507045958,1.22577265155958
1988,0.519106355649344,1.1480841943789,0.138755629028969,0.396013489387822,0.680460175465502,1.19653559873051
1989,0.367303460169949,1.16488931249617,0.153519245824533,0.272338770079168,0.495382393823688,0.846631255516959
1990,0.423927427821142,1.20951711715696,0.191954991559875,0.291994676916226,0.615471713241574,0.977149004526729
1991,0.401628544908637,1.14015856600206,0.131733552529763,0.310580886121738,0.519367080504118,0.92575027490925
1992,0.458144790636996,1.13688349762657,0.128820428066961,0.356288227659818,0.589120360687935,1.05601972583129
1993,0.501965937466748,1.16334092177732,0.152165922662122,0.37315639095393,0.675239144994248,1.15702708509085
1994,0.592560224283622,1.17777171526668,0.164725583750856,0.429986934591543,0.816600671219468,1.36584612195739
1995,0.403885001524972,1.20143066032287,0.18506900307895,0.281871471549678,0.578714452938448,0.930951387627392
1996,0.296650997782598,1.18807191016849,0.173619188354468,0.211620025438123,0.415848236967265,0.683777949129128
1997,0.359483771197512,1.22849456221149,0.2079875928328,0.240165687874868,0.53808095110454,0.828606940991246
1998,0.30025289198794,1.17825514567729,0.165144299789038,0.217701112555715,0.414108123237311,0.692080283694386
1999,0.236039294131891,1.20522933463516,0.188307892817028,0.163715812383455,0.34031256702185,0.544068503601235
2000,0.196718543223037,1.1710967556714,0.158930814041702,0.144346389502826,0.268092505680831,0.453434517484062
2001,0.239756236229332,1.1822137947734,0.168568167917299,0.172698404815791,0.332852251137871,0.552636022549149
2002,0.280271533397094,1.20739513345622,0.190151238423198,0.193712244039726,0.405509382342653,0.646023427320435
2003,0.258549894389375,1.21230622355359,0.194322381978275,0.177283043998775,0.377069607904626,0.595955239842749
2004,0.246881063878565,1.23668152357728,0.214850896616476,0.162804225709306,0.3743776270933,0.569058687816775
2005,0.162061779669393,1.20779218774056,0.190488919820603,0.111938327332553,0.234629380798091,0.37355098133115
2006,0.166434390478662,1.22846762148317,0.207964955918985,0.111197086470702,0.249110900412865,0.383629810911533
2007,0.107400016116679,1.23942284964139,0.217142058231689,0.0705175941397514,0.163572844515985,0.247556095565595
2008,0.132491956335117,1.25632239980656,0.231191651268344,0.0847139475583522,0.207216391154657,0.305392797786324
2009,0.125119183997071,1.26331379509131,0.236967390487032,0.0791344396982361,0.197825501308778,0.288398622184731
2010,0.120140386802817,1.29213054253186,0.260559299420239,0.0726996811245016,0.198538870018042,0.276922538301435
2011,0.0603933775885205,1.23994644791521,0.217579282379026,0.0396207728149405,0.0920567620824961,0.139206205868632
2012,0.0626003290749181,1.22058461831024,0.201326392199836,0.0423551929240818,0.0925223314957427,0.144293209696283
2013,0.0585421732241399,1.23335836373822,0.212068794680239,0.0388094176402525,0.0883081028830122,0.134939196038371
2014,0.0447818208149896,1.23535768603248,0.213743212269844,0.02959315844811,0.0677660506911494,0.103221704373239
2015,0.0433752921768265,1.23883193324478,0.216648470294038,0.0285063409745272,0.0659999111463048,0.0999796681934064
2016,0.0317265989495197,1.24619614689269,0.222788406208861,0.0206099818482472,0.048839299729382,0.0731295324293614
2017,0.0299932393340935,1.2459037283309,0.222545068108429,0.0194929343649869,0.0461497683677664,0.0691341537122874
2018,0.0269229989166066,1.23024275883498,0.209455779771581,0.01793678789344,0.0404112416877437,0.0620572764669895
2019,0.0337925431272918,1.22995393593833,0.209213317229994,0.0225238162017384,0.0506990449922842,0.0778915156468508
