"Parameter","est","CV","lo","hi","BRP.ratio","est.adj","lo.adj","hi.adj","BRP.ratio.adj"
"F",0.0337925431272918,0.209213317229994,0.0225238162017384,0.0506990449922842,0.0778915156468508,0.0327322604778525,0.0218171037347925,0.0491083000298239,0.0754475734354644
"SSB",33864.0804048006,0.170428937147047,24305.6409331921,47181.4730092859,1.76012584769894,34651.2204650641,24870.6036736593,48278.1638706325,1.80103838833987
"Rect",45332.0874762923,0.306000303716366,25219.9407731302,81483.0682373231,NA,49566.3681104307,27575.6299274325,89094.0607385599,NA
