"Parameter","est","lo","hi","BRP.ratio"
"F",0.0337925431272896,0.0225238162017368,0.0506990449922812,0.122392094279227
"SSB",33864.0804048017,24305.6409331933,47181.4730092866,1.38806641152219
"Rect",45332.0874762908,25219.9407731403,81483.0682372853,NA
