"Year","est","se","CV","lo","hi","relF"
1980,0.366212274815,1.15150955334234,0.141778560923526,0.277747855649636,0.482853161589666,1.32637212584251
1981,0.257967011641341,1.14753404138626,0.138269445149863,0.19698165998507,0.337833375453367,0.934322187318308
1982,0.450091455999499,1.15223198960063,0.142415214918649,0.340945313769446,0.594178334713055,1.63017135790761
1983,0.545823204404074,1.17253357985091,0.160180288223286,0.399547959902103,0.745650085508955,1.97689901116866
1984,0.701525908281737,1.15234216823115,0.142512283266589,0.531307910115802,0.92627757016313,2.54083348454471
1985,0.814894850833588,1.19324461992964,0.178063889221244,0.57638749048562,1.1520958190047,2.95144070794534
1986,0.447418097981586,1.15009474981688,0.140530838139589,0.340155766412336,0.588503780232257,1.62048881092267
1987,0.531790591672175,1.13596983081392,0.12800652741849,0.414212995762768,0.682743507045853,1.92607475523749
1988,0.519106355649337,1.14808419437898,0.138755629029037,0.396013489387764,0.680460175465582,1.8801341403119
1989,0.367303460169941,1.16488931249614,0.153519245824508,0.272338770079175,0.495382393823655,1.33032425398909
1990,0.423927427821062,1.20951711715736,0.191954991560216,0.291994676915981,0.615471713241859,1.53540872961186
1991,0.401628544908642,1.14015856600203,0.131733552529741,0.310580886121755,0.519367080504103,1.45464514311711
1992,0.45814479063701,1.13688349762644,0.128820428066849,0.356288227659906,0.589120360687824,1.65933946427071
1993,0.501965937466743,1.16334092177754,0.15216592266231,0.373156390953791,0.675239144994486,1.81805382660816
1994,0.592560224283644,1.17777171526672,0.164725583750887,0.429986934591534,0.816600671219547,2.1461742776641
1995,0.403885001524986,1.20143066032228,0.18506900307845,0.281871471549956,0.578714452937915,1.46281772870454
1996,0.2966509977826,1.18807191016779,0.173619188353867,0.211620025438368,0.415848236966789,1.0744304372675
1997,0.359483771197488,1.22849456221084,0.207987592832257,0.240165687875099,0.538080951103949,1.30200238113254
1998,0.30025289198794,1.17825514567845,0.165144299790046,0.217701112555294,0.414108123238113,1.08747601875876
1999,0.23603929413187,1.20522933463624,0.18830789281795,0.163715812383152,0.340312567022419,0.854902912520368
2000,0.19671854322303,1.17109675567146,0.15893081404176,0.144346389502805,0.268092505680851,0.712488385320184
2001,0.239756236229321,1.18221379477345,0.16856816791734,0.172698404815768,0.332852251137882,0.868365182166899
2002,0.280271533397053,1.20739513345578,0.190151238422822,0.193712244039837,0.405509382342302,1.01510619695307
2003,0.258549894389327,1.21230622355443,0.194322381978988,0.177283043998502,0.377069607905068,0.936433311064646
2004,0.246881063878511,1.23668152357735,0.214850896616537,0.162804225709252,0.374377627093261,0.894170359778962
2005,0.162061779669374,1.20779218774109,0.190488919821056,0.111938327332442,0.234629380798266,0.586966199662411
2006,0.166434390478638,1.22846762148275,0.207964955918631,0.111197086470761,0.249110900412662,0.602803214130306
2007,0.107400016116657,1.23942284964132,0.217142058231639,0.0705175941397433,0.163572844515936,0.388988566164616
2008,0.132491956335088,1.25632239980697,0.231191651268682,0.0847139475582792,0.207216391154743,0.479868234536863
2009,0.125119183997054,1.26331379509152,0.236967390487199,0.0791344396982008,0.197825501308814,0.453165034256943
2010,0.120140386802792,1.29213054253183,0.260559299420219,0.0726996811244893,0.198538870017993,0.435132493370573
2011,0.0603933775885131,1.23994644791514,0.217579282378965,0.0396207728149402,0.0920567620824741,0.218736776803431
2012,0.0626003290749154,1.22058461830987,0.201326392199525,0.0423551929241051,0.0925223314956839,0.226730061398081
2013,0.0585421732241349,1.23335836373793,0.212068794680001,0.0388094176402667,0.0883081028829646,0.212031960943859
2014,0.0447818208149856,1.23535768603264,0.213743212269974,0.0295931584481,0.0677660506911599,0.162193795670766
2015,0.0433752921768205,1.23883193324465,0.216648470293929,0.0285063409745292,0.065999911146282,0.157099536116512
2016,0.0317265989495158,1.2461961468929,0.222788406209039,0.0206099818482377,0.0488392997293925,0.114909519391943
2017,0.0299932393340896,1.24590372833093,0.222545068108453,0.0194929343649835,0.0461497683677624,0.108631521530938
2018,0.0269229989166051,1.23024275883564,0.209455779772132,0.0179367878934203,0.0404112416877837,0.0975115193097026
2019,0.0337925431272896,1.22995393593833,0.209213317229996,0.0225238162017368,0.0506990449922812,0.122392094279227
