"Year","Parameter","est","lo","hi"
"2022","SSB",21529,14381,32231
"2023","SSB",22974,14521,36347
"2024","SSB",21895,12888,37196
"2022","F",0.036,0.023,0.055
"2023","F",0.311,0.268,0.36
"2024","F",0.311,0.268,0.36
"2022","Catch",653,653,653
"2023","Catch",5699,3572,9092
"2024","Catch",5520,3207,9503
"2022","Rect",53612,18822,152706
"2023","Rect",53612,18822,152706
"2024","Rect",53612,18822,152706
