"Year","Parameter","est","lo","hi"
"2022","SSB",19108,12599,28980
"2023","SSB",21454,13340,34504
"2024","SSB",23454,13697,40163
"2022","F",0.04,0.02,0.06
"2023","F",0.05,0.03,0.08
"2024","F",0.05,0.03,0.08
"2022","Catch",653,653,653
"2023","Catch",1258,847,1869
"2024","Catch",1362,838,2213
"2022","Rect",54098,19141,152899
"2023","Rect",54098,19141,152899
"2024","Rect",54098,19141,152899
