"Parameter","est","CV","lo","hi","BRP.ratio","est.adj","lo.adj","hi.adj","BRP.ratio.adj"
"F",0.0526215616154952,0.227929784378229,0.0338532899076593,0.0817949674730687,0.169125535779224,0.060238111029436,0.0387532823725394,0.0936341336331787,0.193605101966069
"SSB",12558.8360476606,0.184166442439843,8779.94904628254,17964.1546939046,0.711630154947354,11064.3088656961,7735.11714815639,15826.3835350832,0.626944710688169
"Rect",79005.5015199627,0.313464020209531,43357.413198651,143963.13824864,NA,81814.3943718133,44898.9049386617,149081.478391756,NA
