"Year","est","se","CV","lo","hi","relSSB","est.adj","lo.adj","hi.adj","relSSB.adj"
2000,25212.761461205,1.10349046365597,0.0987175479383867,20787.1777629703,30580.5505561229,1.42864842547492,22212.3912682065,18313.4610837185,26941.4024796514,1.25863634017975
2001,25959.3037835868,1.10147781813835,0.0968789156641862,21479.3963260448,31373.5750623228,1.47095027785481,22870.0935269826,18923.304221678,27640.0554472803,1.29590418558723
2002,20301.0736776532,1.10245000466692,0.0977674047844638,16768.61068266,24577.6826873131,1.15033400802434,17885.2043790037,14773.111706966,21652.8881676228,1.0134419077687
2003,14184.9836738308,1.10410354594456,0.0992770547682866,11682.3757890931,17223.7022211445,0.803773700956489,12496.9415976536,10292.1491709205,15174.0464213654,0.708122986219161
2004,12539.2205776344,1.11391819939823,0.108198383461748,10149.3858255544,15491.7800344813,0.710518669780965,11047.0276767315,8941.58814916374,13648.2265180023,0.625965494530406
2005,11462.6556853069,1.11956981667084,0.113305671534688,9186.42847916416,14302.8899270169,0.64951651653758,10098.5762089782,8093.22469696805,12600.8167655033,0.572222722318401
2006,12506.4292923819,1.11111953714125,0.105661237299751,10172.8781728325,15375.2724635057,0.708660594134735,11018.138621507,8962.28485905615,13545.5835863187,0.624328533687244
2007,15005.4777490397,1.10456234641217,0.0996955889552095,12348.0540909635,18234.8053238367,0.850265933489696,13219.7951993833,10878.6103930541,16064.8261863687,0.749082547969232
2008,19745.9842728319,1.10510325326847,0.100188833570467,16233.4470739189,24018.5521366781,1.11888058689013,17396.1717489327,14301.6336624784,21160.2952963571,0.985731508095431
2009,22918.7800921663,1.15159629356583,0.141855018220526,17379.816980978,30223.0156674251,1.29866294665346,20191.3983750056,15311.5832054063,26626.4149741373,1.14411939925639
2010,25261.4181068701,1.17109823845694,0.158932104086875,18536.0535351215,34426.9206797973,1.43140549119044,22255.2576734978,16330.2252442308,30330.0466898804,1.26106530943484
2011,27742.5689727196,1.18213936494482,0.168503872427151,19985.6685151174,38510.1020075426,1.57199668677669,24441.1465104861,17607.3330760511,33927.3210864382,1.38492586513128
2012,24911.7032867841,1.18498449649081,0.170959460028366,17861.9655462101,34743.822511764,1.41158935451498,21947.1596324326,15736.3551050183,30609.2365555397,1.2436073335627
2013,22404.6783290979,1.18734820876143,0.172996199547818,16001.7809203088,31369.6090160358,1.26953203707532,19738.4757734682,14097.5362550799,27636.561368615,1.11845512751273
2014,28879.1976888159,1.18791839830913,0.173487063239703,20606.586864021,40472.8868809362,1.63640227868693,25442.5140841039,18154.3608711888,35656.5305445224,1.44166705984618
2015,33670.4392114823,1.18010460721451,0.166744989001149,24338.1285285265,46581.1689409613,1.9078917649917,29663.58806387,21441.8414438007,41037.9145433602,1.68084874187991
2016,42213.0522633413,1.17658429036893,0.163696562156046,30692.20780095,58058.442486253,2.39194785320555,37189.6126864704,27039.7722839208,51149.3690570804,2.10730116533649
2017,44626.7461078614,1.1806976542619,0.167257865164745,32225.9676926858,61799.4310416793,2.52871668417467,39316.0720256681,28391.0116108442,54445.1723212676,2.22779422562485
2018,40736.5549843751,1.18620510112618,0.172011595401814,29149.6796609369,56929.1646185342,2.30828405001371,35888.8216042519,25680.8081482029,50154.4775658453,2.03359352588006
2019,27395.3278325359,1.18930767124532,0.174682326616941,19503.0503570393,38481.3643667404,1.55232071796435,24135.2277763544,17182.1474661025,33902.0032836816,1.36759137685981
2020,17914.2262552006,1.20514731971752,0.188238041793649,12426.8856154956,25824.6122360979,1.01508639473998,15782.3966827263,10948.0608048969,22751.4305491907,0.894289037148567
2021,12558.8360476606,1.20037365454583,0.184166442439843,8779.94904628254,17964.1546939046,0.711630154947354,11064.3088656961,7735.11714815639,15826.3835350832,0.626944710688169
