"Year","est","se","CV","lo","hi","relF"
1980,0.361145902158804,1.15366854122202,0.143680256739565,0.272901591749096,0.477924521473696,0.877755203315519
1981,0.253463625077526,1.14944986458746,0.139961707993989,0.192911161081432,0.333022770052802,0.616036384278793
1982,0.445086916913193,1.15457639630541,0.144479084686091,0.335813873622632,0.589917151040361,1.08177153586095
1983,0.536516872866192,1.17438135122944,0.161785413001178,0.391525427376584,0.735202198229778,1.30398953445079
1984,0.697907178905691,1.15469400942741,0.144582537202819,0.526459257040846,0.92518922187042,1.69624424381909
1985,0.802717981358947,1.19718571430798,0.181440804273042,0.56411703661971,1.14223842885172,1.95098402258188
1986,0.441770679715697,1.15242433422457,0.142584667475639,0.334532844989159,0.58338467023408,1.0737115123687
1987,0.529036020437964,1.13857169355762,0.130322896152334,0.410223865905656,0.682259454366327,1.28580752794079
1988,0.517497322891364,1.1510384501734,0.141363226987646,0.392802495409952,0.681776420285296,1.25776304024075
1989,0.367481179685794,1.16724630570203,0.155576643006589,0.271393226940348,0.497589490149453,0.893152921469103
1990,0.425385799779226,1.211084775688,0.193286097144889,0.292256296179336,0.619158871919646,1.03388851137667
1991,0.40442206816564,1.14263658069405,0.133933243087304,0.311413194208613,0.525209632286191,0.982936737052936
1992,0.457129697016672,1.13923599456327,0.130913621457308,0.354061435853964,0.590201413465277,1.11104118238061
1993,0.496465450966721,1.16652165397682,0.154944442013246,0.367097597972983,0.671423472571261,1.20664565276115
1994,0.583640348149832,1.18087570395978,0.167411807486871,0.421335159225665,0.808468148289552,1.41852184779361
1995,0.396121862806002,1.2039637317946,0.187229613684581,0.275314727165954,0.569938745406502,0.962763315730809
1996,0.28998462908374,1.18788627368109,0.173459412501293,0.206927846447315,0.406378776701976,0.704799682173463
1997,0.351388148071159,1.22928631442166,0.208652708368756,0.234460866974454,0.526627885489873,0.854039249813331
1998,0.295070707074414,1.17952943289602,0.166247384275547,0.213490948447936,0.407823951349524,0.717161255139116
1999,0.232506727773704,1.20712038316634,0.189917525819781,0.160770856304613,0.336251107337568,0.565101220557371
2000,0.192780385223798,1.17284957012858,0.160454919446049,0.141042632102681,0.26349676245392,0.468547435304835
2001,0.232572316420438,1.18298831414575,0.169237049146462,0.167308866113173,0.323293580440502,0.565260631963136
2002,0.269543073869823,1.20753074623865,0.190266581521708,0.186256166043603,0.39007282397397,0.655117043257662
2003,0.249836038082731,1.21077664902053,0.19302456266045,0.171732528420074,0.363460821890397,0.6072196336494
2004,0.239411276991961,1.23737394450458,0.215429938353321,0.157705209493402,0.363448739170023,0.581882537932553
2005,0.157336274576422,1.2081649933881,0.190805906080589,0.108608639792518,0.227925728053291,0.382401497162791
2006,0.161689989553631,1.22910186503803,0.20849778718255,0.107918057439687,0.24225466378937,0.392983081924391
2007,0.106296906857243,1.24113494356974,0.218571256401553,0.0696047310812961,0.162331385121228,0.258351714729585
2008,0.130586695834522,1.25795380696325,0.232541271496056,0.0832836447463518,0.204756710407118,0.317387380189989
2009,0.12233459050297,1.26304244238526,0.236743610340152,0.0774058446343263,0.193341369818123,0.297330864665988
2010,0.118001487151366,1.29442549135926,0.26242389809335,0.0711574678872378,0.195683620895555,0.286799375894719
2011,0.0598184798420118,1.24258150271021,0.219777755342259,0.0390806695821695,0.0915606249551502,0.145387173499375
2012,0.0629725285405505,1.22470960148092,0.204803904498438,0.0423262099751515,0.0936899229370763,0.153053002296279
2013,0.0588575301213803,1.23743144276176,0.2154780117323,0.0387671538152815,0.0893593805853151,0.143051611577263
2014,0.0448577796472099,1.23976993283995,0.217431899687123,0.0294369343879808,0.0683569956149791,0.109025602281943
2015,0.0436687592030346,1.24299336957816,0.220121098314022,0.0285111925364933,0.066884628831003,0.106135720725806
2016,0.0320073894450257,1.25060747882924,0.22645469950232,0.0206488823491817,0.0496139675630501,0.0777930815827549
2017,0.0306025746008028,1.25066565863877,0.226502995513245,0.0197407961101118,0.047440719562368,0.0743787176599178
2018,0.0281396489196272,1.23541605485863,0.213792067851339,0.0185937946038483,0.0425862422485827,0.0683926443883991
2019,0.0378367268548584,1.23305846154209,0.211817468373398,0.025095095213635,0.0570477173687437,0.0919611261674407
2020,0.032126864524582,1.27926351293242,0.250066820810057,0.0198257930432014,0.0520602339554223,0.0780834624845463
2021,0.0433287928801333,1.34617318162805,0.303955528655138,0.0241959906672668,0.0775907181593223,0.105309441908589
