"Parameter","est","CV","lo","hi","BRP.ratio"
"F",0.0433287928801333,0.303955528655138,0.0241959906672668,0.0775907181593223,0.105309441908589
"SSB",19372.62831773,0.181478738045464,13613.2949951002,27568.5444318951,1.03407914941302
"Rect",79900.2711605842,0.320516038931754,43287.8968262597,147478.944453179,NA
