"Year","est","se","CV","lo","hi","relSSB"
1980,58523.4559757609,1.09183199284791,0.0880268246122089,49265.8454000093,69520.6764755158,3.12388616472544
1981,53776.3925962722,1.09425136985648,0.0902534363970154,45073.7364044011,64159.3227311421,2.8704957015853
1982,42345.5384223953,1.08993555083505,0.0862784863983804,35768.7202721652,50131.6404567586,2.26033544003893
1983,35534.4545657216,1.08589855245706,0.082547910145717,30234.5844801341,41763.3476032388,1.89677094659103
1984,23504.818592447,1.0807804889928,0.0778008020656869,20185.180012092,27370.4022819156,1.25464869394825
1985,17898.8090725009,1.08467702049649,0.0814167047438844,15262.8819572159,20989.9655328448,0.955409093574482
1986,12546.1789422743,1.09146056984811,0.0876846161136457,10568.5903960646,14893.8127179363,0.669694469755392
1987,10935.0057578198,1.08687649777459,0.0834527373314961,9287.67759740358,12874.5156869979,0.583692685753117
1988,9325.10986066638,1.09096919917708,0.0872317390001938,7862.17740849216,11060.2533363813,0.497759081253604
1989,8319.63763142837,1.09198727698535,0.0881698648158176,7001.63284946696,9885.74691167196,0.444088621545394
1990,9777.39599045901,1.08833914329357,0.0848046967076893,8282.59832355182,11541.9664964809,0.521901373601165
1991,11287.2765657637,1.08161457225047,0.0785757798672104,9678.50403106678,13163.461198455,0.602496324137502
1992,14226.496281383,1.08512322303338,0.0818300422039657,12121.6092125284,16696.8917159132,0.759387055411372
1993,14954.8143406714,1.08867973798152,0.0851192889376051,12660.7105533572,17664.6066602201,0.79826347976118
1994,13981.3665143699,1.09201536756814,0.0881957386099137,11765.8321178082,16614.0913495849,0.746302430196287
1995,16098.6377853604,1.098352069889,0.0940177127393684,13394.8271458932,19348.2256785743,0.859318900603594
1996,16840.9499820493,1.09735663250071,0.0931050560288487,14037.3899679106,20204.4394966752,0.898942309072561
1997,15905.8045483419,1.1017077423504,0.0970891057435908,13155.4894192944,19231.1065188499,0.849025778449787
1998,16630.2709427131,1.09506157052631,0.0909981313470338,13918.781271309,19869.9804413291,0.88769660723888
1999,18413.395498173,1.09946126237651,0.0950338278025523,15290.5355603209,22174.0522059922,0.982876873610886
2000,25252.452046377,1.10230969522178,0.097639216188982,20863.6346632271,30564.4891049839,1.34793450348767
2001,25946.1023967681,1.10043326426176,0.0959235418026374,21508.4321213705,31299.3632350677,1.38496042235413
2002,20284.250238884,1.10147189189863,0.0968734975709665,16783.8878949322,24514.6303603411,1.08274003348885
2003,14252.7882654593,1.10311229183585,0.0983722913188897,11758.9003390095,17275.5927411089,0.760790478430912
2004,12568.7354868701,1.11267606533756,0.107072980160351,10195.5466035001,15494.3249128671,0.670898501137549
2005,11554.116985167,1.11807232962702,0.111954510646313,9284.05068949989,14379.2428296314,0.616739828395162
2006,12635.7967976712,1.10966611329978,0.104341504027967,10304.5090747126,15494.5140573319,0.67447812399999
2007,15275.1797046256,1.10312948350232,0.0983879888520799,12602.0134473243,18515.3837506931,0.815364057835858
2008,20201.9690119714,1.10351220742419,0.098737396112489,16655.2840274765,24503.908266432,1.0783479964486
2009,23833.1557898474,1.14731570957503,0.138076448623911,18205.6059563494,31200.2421817238,1.2721747954271
2010,26618.7621740188,1.16721906110911,0.155552879725001,19659.4619265412,36041.6018670575,1.42086589882824
2011,29859.0386941155,1.1790228653112,0.165808982511575,21621.9486355986,41234.1277265273,1.5938265489171
2012,27218.3880022592,1.18196883133088,0.168356547168455,19613.5952124567,37771.7923418251,1.45287294280097
2013,24525.6305202023,1.1841202619809,0.170214019408153,17610.3112564255,34156.4975005201,1.30913796162278
2014,31080.7457949385,1.18457400007247,0.170605439260842,22300.3755151302,43318.2283640997,1.65903927167887
2015,35576.170919618,1.17688221302939,0.163954815462091,25853.8409130099,48954.5805422271,1.89899769719225
2016,44121.1930030931,1.17329951320059,0.160845873597987,32255.8374134315,60351.2364929515,2.35511697140083
2017,47084.4272382894,1.17671447289531,0.163809416545657,34226.6576391173,64772.4154585298,2.51328955837184
2018,43740.3242007701,1.18262421678733,0.168922652563159,31485.0912462431,60765.7747035039,2.33478681894631
2019,30305.7817565723,1.18715865253503,0.172832975970924,21651.6501438796,42418.9566048668,1.61767296141492
2020,23115.2019068743,1.20504910850677,0.188154392093715,16037.3019804953,33316.8608937713,1.23385159382295
2021,19372.62831773,1.19723003970859,0.181478738045464,13613.2949951002,27568.5444318951,1.03407914941302
