"Year","Parameter","est","lo","hi"
"2022","SSB",19108,12599,28980
"2023","SSB",21713,13542,34813
"2024","SSB",24775,14644,41916
"2022","F",0.04,0.02,0.06
"2023","F",0,0,0
"2024","F",0,0,0
"2022","Catch",653,653,653
"2023","Catch",0,0,0
"2024","Catch",0,0,0
"2022","Rect",54098,19141,152899
"2023","Rect",54098,19141,152899
"2024","Rect",54098,19141,152899
