"Year","abs_mean","n","sd_abs","se_abs","anomaly_bt","sd_anomaly","se_anomaly"
1959,6.06928493150685,365,0.596872076523819,0.0312417123578663,-0.851415442683167,0.596872076523819,0.0312417123578663
1960,5.69089344262295,366,0.377406444341979,0.0197273508666382,-1.22980693156706,0.377406444341979,0.0197273508666382
1961,5.68782465753425,365,0.438413544730911,0.0229476137299734,-1.23287571665577,0.438413544730911,0.0229476137299734
1962,5.6186301369863,365,0.445223271154124,0.0233040511015938,-1.30207023720371,0.445223271154124,0.0233040511015938
1963,6.08798356164384,365,0.368285110757903,0.0192769237304473,-0.83271681254618,0.368285110757903,0.0192769237304473
1964,6.5892131147541,366,0.280573480117669,0.0146658107436544,-0.331487259435918,0.280573480117669,0.0146658107436544
1965,5.97631506849315,365,0.57892004127979,0.0303020598872756,-0.944385305696865,0.57892004127979,0.0303020598872756
1966,6.06252602739726,365,0.572212687641262,0.0299509809521078,-0.858174346792756,0.572212687641262,0.0299509809521078
1967,5.951,365,0.570551940215364,0.0298640534588983,-0.969700374190016,0.570551940215364,0.0298640534588983
1968,5.59082786885246,366,0.710023465087333,0.0371135210575049,-1.32987250533756,0.710023465087333,0.0371135210575049
1969,5.48621917808219,365,0.711741384199935,0.0372542467187718,-1.43448119610782,0.711741384199935,0.0372542467187718
1970,6.24181095890411,365,0.708831262093688,0.037101923965965,-0.678889415285906,0.708831262093688,0.037101923965965
1971,6.0460301369863,365,0.672875065286916,0.0352198906085624,-0.874670237203715,0.672875065286916,0.0352198906085624
1972,6.24884972677596,366,0.671558405817828,0.0351029202008115,-0.67185064741406,0.671558405817828,0.0351029202008115
1973,6.20406301369863,365,0.578601277501232,0.0302853750285404,-0.716637360491386,0.578601277501232,0.0302853750285404
1974,6.79053698630137,365,0.675894406926902,0.0353779301730465,-0.130163387888646,0.675894406926902,0.0353779301730465
1975,7.71275616438356,365,0.52993341199634,0.027737982521874,0.792055790193546,0.52993341199634,0.027737982521874
1976,7.9866912568306,366,0.475286013709069,0.0248435979168088,1.06599088264059,0.475286013709069,0.0248435979168088
1977,6.43137260273973,365,0.811972739023705,0.0425005956096108,-0.48932777145029,0.811972739023705,0.0425005956096108
1978,6.06429589041096,365,0.608469743448149,0.0318487619893091,-0.856404483779057,0.608469743448149,0.0318487619893091
1979,6.07632054794521,365,0.651347701527696,0.0340930968903747,-0.84437982624481,0.651347701527696,0.0340930968903747
1980,6.31662841530055,366,0.665450490042053,0.034783654328755,-0.60407195888947,0.665450490042053,0.034783654328755
1981,5.95376164383562,365,0.794221649286327,0.0415714611075518,-0.966938730354399,0.794221649286327,0.0415714611075518
1982,5.96762465753425,365,0.574230841457027,0.0300566159507716,-0.953075716655769,0.574230841457027,0.0300566159507716
1983,6.24892602739726,365,0.626531878728028,0.032794177359164,-0.671774346792756,0.626531878728028,0.032794177359164
1984,6.90842076502732,366,0.60202041380349,0.0314681111306588,-0.0122796091626936,0.60202041380349,0.0314681111306588
1985,6.96400821917808,365,0.647602418764324,0.0338970598308532,0.0433078449880662,0.647602418764324,0.0338970598308532
1986,7.20943561643836,365,0.566726579366939,0.0296638249208377,0.28873524224834,0.566726579366939,0.0296638249208377
1987,6.76676164383562,365,0.640904563927598,0.0335464780856954,-0.153938730354399,0.640904563927598,0.0335464780856954
1988,7.07242349726776,366,0.53466678230829,0.0279474804139133,0.151723123077744,0.53466678230829,0.0279474804139133
1989,6.5696904109589,365,0.659174016979238,0.0345027449636821,-0.351009963231112,0.659174016979238,0.0345027449636821
1990,6.85924931506849,365,0.634831041622491,0.0332285753988075,-0.0614510591215228,0.634831041622491,0.0332285753988075
1991,7.20023835616438,365,0.616719837418436,0.0322805916440757,0.279537981974368,0.616719837418436,0.0322805916440757
1992,6.07895355191257,366,0.742140650942845,0.0387923132554637,-0.841746822277448,0.742140650942845,0.0387923132554637
1993,6.79076438356164,365,0.695129792088401,0.0363847562484231,-0.129935990628372,0.695129792088401,0.0363847562484231
1994,7.61892602739726,365,0.492131188963252,0.0257593237356131,0.698225653207244,0.492131188963252,0.0257593237356131
1995,7.60737808219178,365,0.408387299424795,0.021375968220095,0.686677708001765,0.408387299424795,0.021375968220095
1996,7.53013114754098,366,0.323214080227501,0.0168946706164563,0.609430773350968,0.323214080227501,0.0168946706164563
1997,7.46184657534247,365,0.355742758833037,0.0186204270261453,0.54114620115245,0.355742758833037,0.0186204270261453
1998,6.59318630136986,365,0.432451106718369,0.0226355254607008,-0.327514072820153,0.432451106718369,0.0226355254607008
1999,7.09981917808219,365,0.782649164355496,0.0409657295618906,0.179118803892176,0.782649164355496,0.0409657295618906
2000,7.5508825136612,366,0.379722522874693,0.0198484142309091,0.630182139471186,0.379722522874693,0.0198484142309091
2001,7.19855616438356,365,0.332073729477993,0.0173815334072533,0.277855790193546,0.332073729477993,0.0173815334072533
2002,7.5446,365,0.44882270172354,0.0234924539083673,0.623899625809984,0.44882270172354,0.0234924539083673
2003,6.80493424657534,365,0.551214494313722,0.028851885280227,-0.115766127614673,0.551214494313722,0.028851885280227
2004,6.2495218579235,366,0.593050842896837,0.0309992641487074,-0.671178516266519,0.593050842896837,0.0309992641487074
2005,6.5344904109589,365,0.675201177217198,0.0353416448716556,-0.386209963231112,0.675201177217198,0.0353416448716556
2006,7.50314794520548,365,0.464079491849599,0.024291030801759,0.582447571015464,0.464079491849599,0.024291030801759
2007,6.84438630136986,365,0.537010698656156,0.0281084246363516,-0.0763140728201529,0.537010698656156,0.0281084246363516
2008,6.67333333333333,366,0.285883352653142,0.0149433622272997,-0.247367040856683,0.285883352653142,0.0149433622272997
2009,6.65788493150685,365,0.346198313741058,0.0181208479372462,-0.262815442683167,0.346198313741058,0.0181208479372462
2010,7.55877260273973,365,0.686323142834471,0.0359237951586862,0.63807222854971,0.686323142834471,0.0359237951586862
2011,8.06271780821918,365,0.282197557320789,0.0147708952398224,1.14201743402916,0.282197557320789,0.0147708952398224
2012,8.32456830601093,366,0.370721354549163,0.0193779156254149,1.40386793182091,0.370721354549163,0.0193779156254149
2013,8.26925753424658,365,0.95497300432442,0.0499855715891249,1.34855716005656,0.95497300432442,0.0499855715891249
2014,8.09126301369863,365,0.719171078759331,0.0376431347057645,1.17056263950861,0.719171078759331,0.0376431347057645
2015,8.18982739726027,365,0.570969664245909,0.0298859181339611,1.26912702307026,0.570969664245909,0.0298859181339611
2016,8.57863114754098,366,0.644092521229586,0.033667255414855,1.65793077335097,0.644092521229586,0.033667255414855
2017,8.39239452054795,365,0.615535046424236,0.0322185768491123,1.47169414635793,0.615535046424236,0.0322185768491123
2018,8.52352602739726,365,0.42538822928229,0.0222658375594642,1.60282565320724,0.42538822928229,0.0222658375594642
2019,8.6526904109589,365,0.686670230561706,0.0359419625606534,1.73199003676889,0.686670230561706,0.0359419625606534
