"Year","SSB","SSB.CV","F","F.CV","Rect","Rect.CV","prev.SSB","prev.SSB.CV","prev.F","prev.F.CV","prev.Rect","prev.Rect.CV"
1980,58290.5235686092,0.0890563890160563,0.361889465750888,0.144471390064553,71115.4865900868,0.296607393032827,57878.6210531647,0.0853553179250003,0.366212274815,0.141778560923526,72292.0706428611,0.289786270665796
1981,53754.35030547,0.091410327710827,0.252638668088963,0.140403123322411,40600.0646478234,0.263705554225682,52831.9314864889,0.087705412960439,0.257967011641341,0.138269445149863,40639.3257031834,0.258536070051942
1982,42154.0308249902,0.0874806834656499,0.445371013529507,0.145078244943348,35326.1912904212,0.265489232658898,41963.7589681961,0.0832738786111328,0.450091455999499,0.142415214918649,35645.2355893028,0.260184482222482
1983,35500.9368499095,0.0836839628163989,0.535229388733278,0.163775670352876,49600.9953329011,0.26621579742907,35076.1349466353,0.0799799105887198,0.545823204404074,0.160180288223286,49157.5028132872,0.260715506706002
1984,23368.7488024816,0.0787216901298988,0.701621320321523,0.145779919732313,26268.5261587227,0.323556738077569,23413.1010653655,0.0752148826541017,0.701525908281737,0.142512283266589,25085.3360602348,0.311893573041649
1985,17858.2908183228,0.0823659376676511,0.819443817049726,0.185770616245935,55957.8397172249,0.261801947574308,17699.29110563,0.0788357446795257,0.814894850833588,0.178063889221244,53757.6830425284,0.255820441657565
1986,12499.9689641228,0.0888281152098419,0.441329367530927,0.143477388510262,39202.8046179894,0.257267421291413,12426.9613524757,0.084659812253331,0.447418097981586,0.140530838139589,38581.0125372877,0.251557487770194
1987,10871.4544917151,0.0844820365773542,0.530817122418468,0.131125916971228,53145.9487055623,0.259740138077613,10856.6164927817,0.0808186679181467,0.531790591672175,0.12800652741849,52008.4618211485,0.25428178742138
1988,9255.612462246,0.0884408292523428,0.521583441947809,0.143084016550117,136524.837550023,0.265265252630164,9270.38600935719,0.0844349843668435,0.519106355649337,0.138755629029037,132868.350747737,0.258545775490717
1989,8263.82043458629,0.089436715824308,0.366461284284073,0.157566942544667,38595.3535769526,0.262135783608292,8288.2775475906,0.0853672614895392,0.367303460169941,0.153519245824508,38082.6846595477,0.256768076420405
1990,9744.1233038265,0.0860279470638487,0.429632567493389,0.197913271754355,51664.9745413432,0.261611136625607,9720.12069912222,0.0821949965219008,0.423927427821062,0.191954991560216,50533.2641682339,0.255808475000896
1991,11216.0954364922,0.0796077246413593,0.406632383921154,0.134570655391894,36205.7820707315,0.263533925874099,11281.8043117345,0.0760312547625761,0.401628544908642,0.131733552529741,35835.1460150083,0.258493450535494
1992,14158.8870072737,0.0828607651860307,0.458249406863117,0.13181766864083,46153.0379836318,0.260307967041263,14131.3849065393,0.0793268483528459,0.45814479063701,0.128820428066849,45309.8248319562,0.25502432803502
1993,14923.922629757,0.0861852717603649,0.500115242177625,0.15713748312001,122754.922539914,0.263569153542298,14777.6624539631,0.0826962823886632,0.501965937466743,0.15216592266231,122440.690316284,0.257861892003253
