"Parameter","est","lo","hi","BRP.ratio"
"F",0.0526215616154916,0.0338532899076711,0.0817949674730289,0.192044473590395
"SSB",12558.8360475483,8779.9490462061,17964.1546937398,0.505441133968678
"Rect",79005.5015188847,43357.4131980492,143963.13824671,NA
