"Year","est","se","CV","lo","hi","relF","est.adj","lo.adj","hi.adj","relF.adj"
1980,0.366313827641308,1.1515252394699,0.141792387820015,0.277817459251204,0.482999955016847,0.846593282296937,0.355178097002068,0.269371967545308,0.468317032910233,0.82085733120453
1981,0.258068687519692,1.14753732886922,0.138272350929583,0.197058192443408,0.337968427764111,0.596426344678671,0.250223547167918,0.191067736212381,0.327694381052901,0.578295325264924
1982,0.450323801098373,1.15225141416587,0.142432328663231,0.341110044845221,0.594504702808456,1.0407499692903,0.436634215363213,0.330740494773376,0.57643210020739,1.00911176607139
1983,0.546072833464,1.17259636881877,0.160234863410471,0.39968874013089,0.746069402279755,1.26203696822539,0.529472531962916,0.387538431259686,0.723389319588196,1.22367176692952
1984,0.701966681057067,1.1524385415181,0.142597182992101,0.531554599746195,0.927011489599666,1.62232553547256,0.6806272958411,0.51539564423819,0.898830871046082,1.57300776800386
1985,0.814953167169902,1.19338458462678,0.178183957609729,0.576296241116224,1.15244316602494,1.88345026764381,0.790179057462839,0.558777165325941,1.11740955357159,1.82619445781557
1986,0.447433842267457,1.15008917981105,0.140525923526436,0.340170965209757,0.588518902789879,1.03407094287156,0.433832109626205,0.329829962621191,0.570628265082403,1.00263577823191
1987,0.532025665556618,1.13598532236695,0.128020331810232,0.414385019382803,0.683063565455495,1.22957235158162,0.515852389917669,0.401787952036217,0.662298824131453,1.19219405604516
1988,0.519344498003218,1.14811975282749,0.138787046554812,0.396171112820434,0.680813665807243,1.20026471847501,0.503556722597704,0.384127737805565,0.660117320144401,1.16377735820586
1989,0.367463325029366,1.16493667721199,0.15356062159851,0.272435591041264,0.495637499952001,0.849249902640793,0.356292650327636,0.264153705047737,0.480570403714574,0.823433191810894
1990,0.424071920130842,1.20957238806214,0.192001943282786,0.292068041685894,0.615736635906459,0.98007886053671,0.411180376547435,0.28318934043269,0.597018594694866,0.950285024288635
1991,0.40180322872048,1.14021893891168,0.131787190078537,0.310683725366164,0.519646899495382,0.928613359834899,0.389588640606733,0.301239117986884,0.503849931257635,0.900384045343263
1992,0.458236631951895,1.13690868452084,0.128842857236915,0.356344177218293,0.589264043829132,1.05903742921961,0.444306500689021,0.345511518244114,0.571350754260669,1.02684329768874
1993,0.501978355786804,1.16340641047534,0.152223189217573,0.373124453363516,0.675330355346422,1.16012957142229,0.486718501162249,0.361781683601523,0.654800699182298,1.12486229664547
1994,0.592606260492098,1.17784930094037,0.16479279216146,0.429964824808691,0.816769558139283,1.36958105679531,0.574591369450558,0.416894140296868,0.791940231186666,1.32794657677778
1995,0.403960050437644,1.20155197074355,0.185172551278662,0.281868063598897,0.578936543097685,0.933598022272081,0.391679896178514,0.273299435839873,0.561337203638784,0.90521717689616
1996,0.296651898345285,1.18810743014196,0.173649758002759,0.211608268004518,0.415873867414207,0.685596571488613,0.287633850473974,0.205175497806605,0.403231539939858,0.664754828231354
1997,0.359576399039457,1.22863286170855,0.208103793407231,0.240174574790754,0.538338360165008,0.831022311823313,0.348645482372417,0.232873405221248,0.521973182224093,0.805759709318652
1998,0.300342700262923,1.17831536458711,0.165196448420203,0.21774441667678,0.414273481625595,0.694126438160261,0.291212454126365,0.211125111072282,0.401679804962971,0.673025391839681
1999,0.236085602885628,1.20530167801054,0.188369503872572,0.163728669352629,0.340419378660122,0.545620914004112,0.228908735721031,0.158751411541828,0.330070824444886,0.529034350595876
2000,0.196815563385942,1.1711293015943,0.158959129185425,0.144409714095293,0.268239337177585,0.454863347329551,0.190832482939353,0.140019741463876,0.260085014899085,0.441035761987933
2001,0.239794031517128,1.18224202971672,0.16859255760741,0.172717544067571,0.332920305587148,0.554191518033779,0.232504430245273,0.167467029611723,0.32279971889998,0.537344413169862
2002,0.280325864012852,1.20744145100367,0.190190634054916,0.193735228455641,0.405618485914889,0.647865233085739,0.271804118238308,0.187845788427387,0.393287916166734,0.628170500914078
2003,0.258536641572315,1.21236383934691,0.19437124524563,0.177257445082465,0.377085402558947,0.597507840181928,0.250677275685254,0.171868920234937,0.365622222209125,0.579343943924057
2004,0.246910182607108,1.23680287252571,0.214952391477216,0.162792118095451,0.374493796065295,0.57063775962771,0.239404254416237,0.157843330906676,0.36310939906914,0.553290698435097
2005,0.162063443399674,1.20785095977262,0.190538896701576,0.111928801231361,0.234654167628127,0.374547210984403,0.157136807504471,0.108526229755119,0.227520815275835,0.363161190205288
2006,0.166443174707126,1.2286052543223,0.208080598137449,0.111178540668632,0.249178755540213,0.384669272515712,0.16138339748765,0.10779877668396,0.241603864030974,0.372975546861102
2007,0.107421104280216,1.23958082192453,0.217273984199085,0.0705138242586162,0.163645834928191,0.248262496248433,0.104155564210553,0.0683702443715485,0.158671095236469,0.240715458497089
2008,0.132513609117514,1.25653997639612,0.231371713272583,0.0846990397411023,0.207320610186657,0.30625415375163,0.128485271266694,0.0821242374246503,0.201018182331648,0.296944202813425
2009,0.125292818035034,1.26376804000731,0.237341928895699,0.0791884418099631,0.198239665945605,0.289566077129846,0.121483988099092,0.0767811585157042,0.192213293596525,0.280763434166728
2010,0.120269199255191,1.29266133094654,0.260990735279948,0.0727190690095643,0.198911791452973,0.27795591777763,0.116613084454047,0.0705084509446088,0.192864986873273,0.269506217011801
2011,0.0604485471083794,1.2401836848344,0.217777342854378,0.0396420994806832,0.0921754118823726,0.139703527535615,0.0586109458841322,0.0384370023522638,0.0893733321331794,0.135456620281238
2012,0.0626482617546827,1.22071431775849,0.201435858753092,0.0423787975181366,0.0926124602568907,0.144787320453075,0.0607437904645629,0.0410905063361859,0.08979709448733,0.140385868804567
2013,0.058598072712104,1.23352785351983,0.212210813242411,0.038836014322582,0.0884162338867101,0.135426868903762,0.0568167248500747,0.0376554217214711,0.0857284309963901,0.131309969623332
2014,0.0448301200634193,1.23553252177412,0.213889547687935,0.029616860146963,0.067857958437457,0.103607550756776,0.043467310079517,0.0287165245546643,0.065795115350823,0.1004579405309
