"Year","est","se","CV","lo","hi","relF","est.adj","lo.adj","hi.adj","relF.adj"
1980,0.363758551593761,1.15376622085377,0.143766229418428,0.274830243245322,0.481461873682795,0.878471368410567,0.3888985374949,0.293824239153108,0.514736540802755,0.939184051918994
1981,0.25685066804877,1.14983185851926,0.14029885933144,0.195361770216802,0.337692812692509,0.620290455988943,0.274602064256921,0.20886356179628,0.361031350062447,0.663159807787957
1982,0.452198475503096,1.15501309221314,0.144863160836172,0.340926696413625,0.599787178294883,1.0920524392565,0.483450698299937,0.364488733109692,0.64123951292716,1.16752608188545
1983,0.543816871650438,1.17409370163338,0.161535663347705,0.397043217273972,0.744847857928778,1.3133094722046,0.581401001085177,0.424483564286234,0.796325588321038,1.40407457303975
1984,0.706124015041377,1.15570545713585,0.145471865847317,0.531744252023571,0.937689730957453,1.70527875439122,0.754925473329623,0.568494021727441,1.00249509845364,1.82313353376362
1985,0.789174919359668,1.19618476010396,0.180583912061477,0.555509482951413,1.12112767191197,1.90584542490541,0.843716170030775,0.593901709080969,1.19861075441753,2.03756171556565
1986,0.442923980639388,1.1519060558536,0.142128021588714,0.335702028738959,0.584392216402098,1.06965467524919,0.473535226972329,0.358902979568855,0.624780578453559,1.14358036946869
1987,0.536198254610613,1.13879294531977,0.130519673641342,0.415619277838187,0.691759462513197,1.29491062795188,0.573255848176633,0.444343448690842,0.739568161603199,1.38440415267401
1988,0.523356840339868,1.15110962375194,0.141425983631746,0.397201979088829,0.689579601186418,1.26389880783845,0.559526941440618,0.424653298406125,0.737237646270399,1.35124905175796
1989,0.374661536535623,1.16714743440059,0.155490403436825,0.276742026490031,0.507227863940971,0.904801911183164,0.400555046681121,0.295868149061527,0.54228326344229,0.967334344278706
1990,0.428017670485509,1.2077578796128,0.190459745048979,0.295654223624535,0.619639807616936,1.03365616299028,0.457598715808838,0.316087401019176,0.662464191975797,1.10509393744354
1991,0.411197245627252,1.14479314718117,0.135844484673177,0.31546221673235,0.535985502678743,0.993035092838829,0.43961580214603,0.337264358967208,0.573028392588879,1.0616654745135
1992,0.46073081499417,1.13968873575333,0.131316059768412,0.356572826562741,0.595314247390754,1.11265790932896,0.492572722606857,0.381216194514479,0.636457449991979,1.18955563181758
1993,0.494634116032185,1.16701032510559,0.155370801842756,0.365443358953289,0.66949611410017,1.19453386558073,0.528819139721081,0.390699784820112,0.715766154476133,1.27709017774868
1994,0.581041962803751,1.18179771572869,0.168208703109391,0.418818198455377,0.806100985544462,1.40320750105199,0.621198783004557,0.447763452273265,0.861812026075858,1.50018561095005
1995,0.395910797277462,1.20441731653721,0.187616156664496,0.274964959765726,0.570055761048334,0.95611855261966,0.423272880775033,0.293968266166444,0.609453305746122,1.02219756801974
1996,0.290972717780519,1.18715931081055,0.172833542834051,0.207882201837445,0.407274512893539,0.702694687008366,0.311082348167402,0.222249302213211,0.435421962533352,0.751259138474305
1997,0.349723023931997,1.22850952064477,0.208000161489625,0.233639103958435,0.523483404087608,0.844575782623311,0.373892990115425,0.2497863086186,0.559662252228998,0.902945883269921
1998,0.297838232378726,1.18036256263817,0.166968096599657,0.215195310627235,0.412219078603181,0.71927480032118,0.318422350415306,0.230067832665429,0.4407082557754,0.768985132242979
1999,0.23353011594113,1.20722820099185,0.190009244142093,0.161450231244416,0.337790256669973,0.563971677413623,0.249669788249942,0.17260833740972,0.361135528562601,0.602948740514132
2000,0.195156584579029,1.17352392785658,0.161040824176737,0.142620347846428,0.267045292482124,0.471300182932697,0.208644195422362,0.152477088034021,0.285501256908394,0.503872557938643
2001,0.232748218047258,1.18281882980519,0.169090709122326,0.167482432821745,0.323447254088016,0.562083405894567,0.248833852033281,0.179057434925143,0.345801256136649,0.600929967267602
2002,0.268828815843337,1.20749949287577,0.190240000340812,0.185772032410112,0.389019441140578,0.649217500694874,0.287408042669787,0.198611060537846,0.415905251034788,0.69408605084368
2003,0.247121074031398,1.20919198436044,0.191678765534171,0.170302900659863,0.358589460272326,0.596793634448744,0.264200041081943,0.182072830198986,0.383372201285686,0.638039080061487
2004,0.236549624982526,1.23620595053582,0.214453067299739,0.156108860710626,0.358440416672421,0.571263745814218,0.252897980810657,0.166897815472275,0.383212857023477,0.610744776439278
2005,0.156323808896313,1.20769388039754,0.190405320131901,0.10799225835024,0.226285972727755,0.377519620403755,0.167127619100766,0.115455791071222,0.241924989705023,0.403610657694207
2006,0.159592395539526,1.22930871023477,0.208671517779291,0.106482917950693,0.239190784815251,0.385413207423636,0.170622103449385,0.113842137532649,0.255721675791124,0.412049784236168
2007,0.105078585483477,1.23968466033586,0.217360695619434,0.0689648145877607,0.160103513555563,0.253763185431323,0.112340749207167,0.0737310928204363,0.171168545720097,0.271301200348141
2008,0.128625521375193,1.25802777722947,0.232602437876346,0.0820234225482336,0.201704881789238,0.310628677401316,0.137515054775112,0.0876922038796719,0.215645056837095,0.332096765329815
2009,0.121089639505654,1.26390989173514,0.237458871922102,0.0765150856221292,0.191631502159211,0.292429637326219,0.129458355008309,0.081803176212266,0.204875488428094,0.312639957955784
2010,0.113560987016996,1.29454473884198,0.262520728618056,0.0684673865709559,0.188353877928575,0.274248056095972,0.121409384257469,0.073199286688603,0.201371341888673,0.293201816037724
2011,0.0606051041991153,1.24251850443198,0.219725231560564,0.0395985225791285,0.0927554468136033,0.146360404683817,0.0647936283133315,0.0423352453172842,0.0991659369998299,0.156475626701594
2012,0.0654843475192832,1.22607877189094,0.205956358718366,0.0439182150710549,0.0976405749434126,0.15814370307638,0.0700100846220044,0.0469534792671872,0.10438868482757,0.169073289331534
