"Year","est","se","CV","lo","hi","relSSB","est.adj","lo.adj","hi.adj","relSSB.adj"
1980,58386.560773661,1.09196880961404,0.0881528544957142,49138.535907034,69375.0926040194,3.06472753703507,53871.1173158042,45338.3072662305,64009.8286822173,2.82771059813941
1981,53641.7549567155,1.09424857193568,0.0902508638656792,44961.1125522326,63998.3690682367,2.81567130127821,49493.2607094481,41483.9534450374,59048.9249993708,2.59791563304972
1982,42224.4900516938,1.0899492604444,0.0862911348412583,35665.5930285124,49989.5672195965,2.21637574955548,38958.9732129066,32907.321834299,46123.5223409153,2.04496782201409
1983,35567.3613246091,1.08614488580961,0.0827758930954538,30249.1326639852,41820.610384028,1.86694112869171,32816.6870790576,27909.7544511988,38586.3284009843,1.72255743843746
1984,23482.6033406863,1.08097604236333,0.0779825453647228,20158.9526731687,27354.2315712643,1.23260867134237,21666.5284388061,18599.9190572279,25238.736423811,1.13728237215023
1985,17897.0625922479,1.08494920470516,0.0816688589566487,15253.8895307277,20998.2410575095,0.939422014787449,16512.9568472581,14074.1989516678,19374.2993669346,0.866769902132918
1986,12544.723463718,1.09170559786416,0.0879103826529116,10562.716207797,14898.6381613654,0.658476179009505,11574.5517539224,9745.82706129308,13746.4216696713,0.607551584115326
1987,10906.9024585017,1.08690975181908,0.0834834925346856,9263.25248417674,12842.1978611157,0.572506478638227,10063.394968094,8546.86000834143,11849.0203636215,0.528230525417263
1988,9302.66109533102,1.09106695266149,0.0873218486852785,7841.87319807365,11035.5652621167,0.488299383433235,8583.22087438003,7235.40598095408,10182.1073720425,0.450535757229142
1989,8326.10477415888,1.09220736167882,0.0883725659007484,7004.30834377816,9897.33993818975,0.437039658433094,7682.18852299195,6462.61590859036,9131.90901912379,0.403240307343623
1990,9811.93874184867,1.08874885748708,0.0851831210793981,8305.73063025428,11591.291140975,0.515031515050468,9053.1124980402,7663.39005495495,10694.8550595019,0.475200505064454
1991,11301.3993473084,1.08186623702507,0.0788095073899896,9686.19616037713,13185.9426644494,0.59321373493797,10427.3826374485,8937.0944749149,12166.180963282,0.547336343924646
1992,14204.2802358593,1.08536098025785,0.0820502264931884,12097.4844578902,16677.9777829951,0.745586796101183,13105.7633269217,11161.9008864642,15388.1524418101,0.687925324418161
1993,14927.1302600776,1.08900006752545,0.0854150847912399,12629.9886168684,17642.0759005066,0.783529403869371,13772.7102739659,11653.2227529922,16277.6900700623,0.72293356342493
1994,13944.8833932968,1.09234742196461,0.0885015449301753,11728.1395282121,16580.6155686391,0.731970980477052,12866.4274668904,10821.1199983105,15298.319932373,0.675362515595059
1995,16107.1533830614,1.09884752448278,0.0944717002979634,13390.0715550507,19375.5790653417,0.845469160406255,14861.4739081188,12354.523130853,17877.1292410415,0.780083082881059
1996,16846.9820987753,1.0977382654476,0.0934550364723539,14032.8511482003,20225.4554572722,0.884302984623563,15544.0864650105,12947.5920565087,18661.2787132309,0.815913614299784
