"Parameter","est","CV","lo","hi","BRP.ratio","est.adj","lo.adj","hi.adj","BRP.ratio.adj"
"F",0.0450190403032365,0.235463243138041,0.0285540146529494,0.0709782499749154,0.108720297478755,0.0481303844449685,0.0305274322472599,0.0758836802275893,0.116234146249617
"SSB",18809.0928599039,0.181206515489725,13224.179202751,26752.6603192801,0.9872947484929,17354.4533987492,12201.4604011064,24683.6889084233,0.910940300585947
"Rect",79234.9951123018,0.314649854279129,43389.2621284063,144694.427664311,NA,79790.7990986428,43693.6216455765,145709.405195175,NA
