"Year","est","se","CV","lo","hi","est.adj","lo.adj","hi.adj"
1980,71621.8492165313,1.33313156933071,0.293577200246858,40766.0771490264,125832.300872199,72124.2498192857,41052.0360003496,126714.96760722
1981,39783.8960407271,1.29386213197144,0.261966368723545,24011.033652675,65917.961178779,40062.9652573059,24179.46211287,66380.3511308792
1982,34666.4855064888,1.29555050215735,0.263337203908743,20869.0819776379,57585.9167480075,34909.6579937166,21015.4708167867,57989.860510991
1983,48945.5810487862,1.29655873469026,0.264155293787814,29420.1476534194,81429.5676699249,49288.9160742019,29626.5190341627,82000.7657655747
1984,26037.6368335156,1.36636904778026,0.319917834322717,14121.9001865858,48007.5997504948,26220.2811603872,14220.9600578874,48344.3551863747
1985,56563.6597795875,1.29198467043579,0.260440712398691,34235.5320331166,93454.005755367,56960.4327905907,34475.6815422008,94109.5508067013
1986,39290.6986521933,1.28597999787851,0.255551986764193,23999.0818407526,64325.7525775849,39566.3082727411,24167.4264634374,64776.9737792312
1987,52542.6801317676,1.28879046105574,0.257841895194676,31956.4741683536,86390.4203225022,52911.2474678151,32180.6369351588,86996.4169522599
1988,135664.192779868,1.2952748084502,0.263113435381422,81703.3606395517,225263.355858872,136615.826575565,82276.4792909324,226843.494419939
1989,37955.309077812,1.29186160103949,0.260340656452567,22976.9933348813,62697.7370883971,38221.5514377485,23138.1683872878,63137.5383676033
1990,51431.1829277326,1.29087294747059,0.259536663186211,31181.6324344788,84830.9203472306,51791.9535247769,31400.3599750452,85425.9776653656
1991,35395.8791887461,1.29473855777393,0.262678100453388,21334.3720461495,58725.3405365841,35644.168101054,21484.024721871,59137.2769331625
1992,45919.8502690343,1.29032051310792,0.259087246483931,27863.5951271399,75676.9770415113,46241.9609197075,28059.0478715177,76207.8228559686
1993,123634.42438916,1.29473813473696,0.262677756983065,74518.9710558562,205121.87269174,124501.673839066,75041.6938895255,206560.726248381
1994,99488.73457322,1.29815005660213,0.265445716798266,59656.9699254408,165915.371151957,100186.611000087,60075.4413552754,167079.205699442
1995,41204.7648248975,1.28845737980206,0.257570669689048,25073.449796681,67714.361527541,41493.8009069148,25249.3307105192,68189.3525591704
1996,47871.5986596306,1.2871871235695,0.256535909599005,29186.6448722523,78518.4445920147,48207.4000985002,29391.378317934,79069.2222432744
1997,35262.6877773437,1.29019212250354,0.258982781036961,21401.1347115366,58102.3934498259,35510.0424014964,21551.2557024956,58509.9601045546
1998,76479.814377856,1.2954427556604,0.263249754264565,46048.0400165328,127023.039529397,77016.2917972789,46371.0498705513,127914.058852709
1999,85208.5853205901,1.29990089985812,0.266864383280119,50959.2911744111,142476.530677925,85806.2918178839,51316.751626522,143475.950487298
2000,33026.289395682,1.2964846074969,0.264095159517094,19853.6247060954,54938.8742556648,33257.9565179447,19992.8904906055,55324.2500012316
2001,27152.1502986878,1.30166703164477,0.268294261019991,16195.2828902598,45521.851692132,27342.6125225114,16308.8867691718,45841.1705309891
2002,50702.1285927993,1.29325339023029,0.261471844576422,30628.8230348656,83930.9378918823,51057.7851451587,30843.6728233408,84519.6821682154
2003,40228.3890853706,1.29009979554175,0.25890765491533,24418.2730351314,66275.0918574639,40510.5762551437,24589.5581279525,66739.9869482919
2004,71220.3980503635,1.29247429993731,0.260838725053371,43074.6199004213,117757.164431824,71719.9826226738,43376.772319524,118583.187091618
2005,67453.9739295141,1.29016708163604,0.258962405700832,40939.7748729577,111139.805067395,67927.1384391027,41226.9521491353,111919.409415324
2006,113574.677713835,1.29652690814986,0.264129475372131,68270.6074774197,188942.326638411,114371.361786715,68749.5003672608,190267.686704192
2007,88329.4002134443,1.29955752949242,0.266586250224298,52853.0653684815,147618.362107707,88948.9980651278,53223.8099413877,148653.84994992
2008,101499.650883993,1.30685925148645,0.272491150811421,60070.3626521425,171501.863393611,102211.633139985,60491.7338780218,172704.885103955
2009,81070.5787888719,1.28623494793694,0.255759843385381,49499.3404249879,132778.309543794,81639.2587111962,49846.5598662268,133709.699943194
2010,51084.3248638586,1.29329659634618,0.261506948695155,30857.6846948357,84569.152630981,51442.6623807428,31074.1398626354,85162.3737460597
2011,68817.0526456598,1.29282149839974,0.261120901265142,41599.15388496,113843.342774039,69299.7786448788,41890.9564593768,114641.911432276
2012,50075.3326180216,1.2938153312726,0.261928354272337,30224.4340452704,82963.9666056174,50426.592430015,30436.447195564,83545.9279384439
2013,71521.6524142932,1.29248200286278,0.260844985905671,43256.3154720171,118256.645492151,72023.3501737897,43559.7424178975,119086.171825593
2014,108274.045710394,1.2975001021421,0.264918777340755,64988.7124606993,180389.309629512,109033.547823542,65444.5840790623,181654.673465823
2015,29879.1634088154,1.29695719039828,0.264478497342583,17948.9167673375,49739.1802292659,30088.7546141611,18074.8217349045,50088.0820574237
2016,54798.7367034383,1.30373183426198,0.269964455802664,32584.0966794118,92158.5021625024,55183.1294362586,32812.6619844272,92804.9597385334
2017,15927.2768546254,1.30178454316141,0.268389357730808,9498.36813000591,26707.55065836,16039.0007709935,9564.99564557411,26894.8941812603
2018,65028.1638438111,1.30499373034215,0.270984402357799,38593.4089697235,109569.540649154,65484.3121989363,38864.1273627954,110338.1301769
2019,43526.5750764454,1.30607297728973,0.271856248784089,25790.6615415815,73459.2532584283,43831.8977928155,25971.5734287453,73974.5425663509
2020,60998.9521992743,1.38786100254338,0.336766780473004,32087.0207543164,115961.908645221,61426.8371350521,32312.0992568111,116775.338254163
2021,79234.9951123018,1.35968579233322,0.314649854279129,43389.2621284063,144694.427664311,79790.7990986428,43693.6216455765,145709.405195175
