"Year","Parameter","est","lo","hi"
"2022","SSB",19108,12599,28980
"2023","SSB",20378,12712,32667
"2024","SSB",18833,11066,32052
"2022","F",0.036,0.024,0.055
"2023","F",0.311,0.273,0.355
"2024","F",0.311,0.273,0.355
"2022","Catch",653,653,653
"2023","Catch",5727,3555,9226
"2024","Catch",5333,3108,9152
"2022","Rect",54098,19141,152899
"2023","Rect",54098,19141,152899
"2024","Rect",54098,19141,152899
